Last Disposition Date (date of issuance of vacate),Last Disposition Year,House Number,Street Name,Borough Name,ZIP Code,Block,Lot,Complaint  Category Description,Last Disposition Code Description
3/2/2022,2022,769,4 AVENUE,Brooklyn,11232,658,7,SRO - ILLEGAL WORK/NO PERMIT/CHANGE IN OCCUP-USE                          +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,274,53 STREET,Brooklyn,11220,813,40,SRO - ILLEGAL WORK/NO PERMIT/CHANGE IN OCCUP-USE                          +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,5304,   3 AVENUE,Brooklyn,11220,813,41,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,613,54 STREET,Brooklyn,11220,817,71,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,62,  16 STREET,Brooklyn,11215,1051,11,SRO - ILLEGAL WORK/NO PERMIT/CHANGE IN OCCUP-USE                          +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,1504,8 AVENUE,Brooklyn,11215,1104,40,FAILURE TO MAINTAIN,FULL VACATE ORDER ISSUED                                                 F
3/2/2022,2022,418,NEW JERSEY AVENUE,Brooklyn,11207,3772,34,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,405,BRADFORD STREET,Brooklyn,11207,3776,11,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,490,VERMONT STREET,Brooklyn,11207,3790,39,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,489,PENNSYLVANIA AVENUE,Brooklyn,11207,3806,9,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,2971,FULTON STREET,Brooklyn,11208,3940,21,ILLEGAL CONVERSION                                                        +,FULL VACATE ORDER ISSUED                                                 F
3/2/2022,2022,2969,FULTON STREET,Brooklyn,11208,3940,23,CERTIFICATE OF OCCUPANCY - NONE/ILLEGAL/CONTRARY TO CO,FULL VACATE ORDER ISSUED                                                 F
3/2/2022,2022,173,JEROME STREET,Brooklyn,11207,3951,6,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,374,CLEVELAND STREET,Brooklyn,11208,3984,19,ILLEGAL CONVERSION COMMERCIAL BLDG/SPACE TO DWELLING UNITS,FULL VACATE ORDER ISSUED                                                 F
3/2/2022,2022,454,LINWOOD STREET,Brooklyn,11208,4002,24,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,3287,FULTON ST,Brooklyn,11208,4129,1,ILLEGAL CONVERSION COMMERCIAL BLDG/SPACE TO DWELLING UNITS,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,45-57,47 STREET,Queens,11377,151,64,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,34-27,58 STREET,Queens,11377,1197,24,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,35-37,63 STREET,Queens,11377,1203,45,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,39-68,64 STREET,Queens,11377,1295,42,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,39-51,64 STREET,Queens,11377,1296,13,ILLEGAL HOTEL ROOMS IN RESIDENTIAL BUILDINGS,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,40-21,70 STREET,Queens,11377,1302,17,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,41-71,53 STREET,Queens,11377,1322,54,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,40-54,61 STREET,Queens,11377,1335,75,WALL/RETAINING WALL - BULGING/CRACKED,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,40-50,62 STREET,Queens,11377,1336,71,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,100-10,34 AVENUE,Queens,11368,1734,5,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
3/2/2022,2022,103-17,35 AVENUE,Queens,11368,1744,39,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
